,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  26/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.7,29.76,35.27,77.83,141.37,116.06,112.07,92.27,43.25,58.1,191.39,141.44,129.94,126.75,128.58,103.19,52.03,274.35,22.23,24.47,32.78,64.34
Maximum Price,65.0,51.0,67.0,132.0,180.0,157.0,156.0,144.0,70.0,80.0,270.0,258.0,220.0,200.0,244.0,170.0,117.0,558.0,37.0,50.0,65.0,168.0
Minimum Price,23.0,21.0,27.0,54.0,73.0,65.0,75.0,66.0,36.0,40.0,130.0,110.0,93.0,100.0,104.0,83.0,35.0,154.0,9.0,12.0,11.0,20.0
Modal Price,40.0,28.0,30.0,75.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,130.0,120.0,130.0,100.0,50.0,280.0,28.0,20.0,30.0,50.0
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.67,53.0,70.67,236.5,195.67,198.33,,140.67,128.0,76.0,308.33,20.33,46.67,56.67,126.67
Andhra Pradesh,53.4,40.8,44.2,73.6,150.4,120.2,115.4,99.8,43.2,58.2,177.8,196.4,117.2,175.0,119.2,98.6,58.2,325.0,21.2,31.2,29.4,48.0
Arunachal pradesh,31.67,42.0,38.33,86.67,130.0,123.33,116.67,100.0,52.5,70.0,,160.0,170.0,146.5,212.5,,70.0,300.0,22.5,25.0,37.5,90.0
Assam,41.64,30.78,36.23,77.14,134.1,105.63,109.05,90.14,44.95,70.5,199.6,147.0,139.71,139.95,155.84,117.36,56.77,259.33,13.91,21.91,36.68,87.5
Bihar,37.97,26.24,32.85,72.41,133.56,112.09,107.5,79.26,43.09,55.03,188.94,139.88,126.79,131.5,170.96,111.18,48.06,280.94,22.35,19.38,29.97,78.41
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,35.0,60.0
Chhattisgarh,37.6,34.2,35.8,71.6,138.8,102.8,107.0,84.4,42.4,60.4,198.0,144.6,120.4,127.2,147.4,115.0,48.8,289.4,24.0,25.6,33.0,55.2
Delhi,39.0,28.0,31.0,80.0,162.0,128.0,115.0,88.0,41.0,53.0,218.0,144.0,130.0,130.0,144.0,104.0,60.0,243.0,26.0,27.0,37.0,43.0
DNH and DD,45.0,39.33,44.0,80.0,147.33,129.67,123.33,96.33,41.0,64.0,209.33,154.67,141.0,132.33,133.33,101.67,67.33,350.0,27.0,21.67,31.67,47.33
Gujarat,37.25,32.5,37.5,77.5,145.75,123.0,117.0,102.5,42.25,58.75,191.75,153.25,145.5,156.5,142.0,107.5,50.5,277.25,13.75,25.0,27.0,65.5
Haryana,40.25,25.75,32.75,67.75,128.0,101.75,99.25,93.75,42.0,58.75,188.25,143.75,132.5,127.75,161.0,114.0,45.25,234.5,25.75,17.0,22.5,77.75
Himachal Pradesh,37.0,21.0,31.92,74.67,140.83,120.42,112.5,87.25,44.55,53.82,219.5,164.92,141.33,133.9,152.4,121.5,45.91,256.82,27.55,30.0,38.25,60.58
Jammu and Kashmir,38.5,32.5,45.0,91.5,115.0,115.0,116.5,102.5,55.0,46.5,243.0,151.0,147.0,140.0,174.0,142.0,48.5,331.0,26.0,27.5,37.0,68.5
Jharkhand,37.68,30.83,34.79,74.74,140.47,106.95,106.16,80.21,43.72,57.12,186.85,141.89,123.11,131.78,157.24,105.78,47.67,293.29,23.33,19.53,28.63,80.58
Karnataka,54.48,41.58,45.35,86.42,150.16,131.55,120.84,104.74,41.71,49.97,178.0,170.03,122.52,140.83,124.58,98.48,51.81,294.68,19.32,30.52,33.19,43.45
Kerala,51.0,43.17,47.09,94.67,159.67,139.25,132.09,109.45,42.58,54.0,232.0,194.88,155.82,,122.09,99.9,62.75,231.25,13.75,35.64,34.82,44.55
Madhya Pradesh,36.38,27.55,33.13,75.75,142.57,106.2,106.28,89.2,42.17,57.83,190.75,138.38,121.38,115.1,144.56,113.55,47.5,247.13,19.38,20.63,26.5,55.13
Maharashtra,47.11,38.44,43.22,76.11,156.22,120.89,117.94,96.72,43.17,56.83,190.28,161.71,131.5,114.44,128.22,105.63,51.78,291.11,24.28,27.78,30.94,59.28
Meghalaya,38.25,38.13,38.13,77.6,128.0,125.4,113.43,90.25,46.0,72.38,143.0,134.75,144.0,138.38,205.0,137.67,78.0,341.25,23.13,26.88,49.38,79.5
Mizoram,45.0,45.0,45.0,101.5,137.0,,131.5,105.0,50.0,77.5,150.0,180.0,220.0,138.5,,150.0,108.5,520.0,27.5,36.0,60.0,71.5
Nagaland,40.56,40.13,47.88,97.08,131.08,122.75,123.67,97.69,50.69,70.64,200.0,141.88,181.67,151.44,188.0,137.5,76.11,309.0,17.56,28.19,48.13,105.63
Odisha,36.47,37.62,39.75,75.12,146.53,112.06,107.24,79.18,43.71,52.71,172.0,140.0,117.13,138.5,118.47,97.12,50.41,279.38,26.41,20.29,31.76,48.59
Punjab,35.9,23.8,28.8,79.4,145.8,114.5,108.7,93.6,42.78,56.0,194.88,129.89,122.33,117.33,140.13,103.0,53.22,279.78,26.56,19.67,33.11,62.33
Rajasthan,38.67,28.22,31.11,70.56,119.11,105.56,102.0,90.44,41.11,54.11,179.67,151.89,127.38,136.0,162.25,149.0,43.11,286.89,21.11,22.22,26.0,87.22
Sikkim,50.0,35.67,41.0,80.0,133.33,133.33,129.33,110.0,50.0,63.33,,181.67,145.0,154.0,201.33,,58.33,421.0,19.0,36.0,45.0,90.0
Tamil Nadu,55.14,43.46,53.0,82.0,164.71,132.71,118.5,91.96,41.79,44.96,213.64,184.85,126.79,,116.25,93.82,53.75,280.61,23.64,34.93,35.75,33.68
Telangana,48.4,38.1,42.7,70.2,131.3,114.6,106.2,90.1,39.6,63.0,168.1,172.8,117.7,151.0,120.0,100.6,54.1,295.9,18.5,29.3,29.5,56.3
Tripura,40.0,,35.0,80.0,145.0,120.0,112.0,78.0,48.0,70.0,,136.0,143.0,122.0,158.0,107.0,70.0,200.0,12.0,25.0,47.0,100.0
Uttar Pradesh,36.79,25.67,31.79,74.37,136.01,110.66,107.38,92.16,42.08,62.35,192.48,142.32,130.97,135.77,164.51,113.67,47.44,242.03,26.85,19.96,29.95,62.48
Uttarakhand,35.0,26.25,32.5,84.5,124.5,106.25,110.5,101.5,41.25,63.0,162.5,139.25,142.75,142.0,154.75,114.0,51.25,263.25,28.25,23.75,30.75,58.25
West Bengal,42.75,28.75,37.88,74.75,133.44,112.0,115.56,105.75,43.47,54.4,200.2,131.6,112.8,116.67,135.0,102.4,51.33,269.2,20.87,21.07,33.8,83.53
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023,NR -> Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,
