,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  02/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.85,29.85,35.5,78.67,142.9,116.4,112.2,92.5,43.36,58.06,192.35,140.41,128.85,125.79,127.63,102.92,51.94,275.58,22.19,24.43,33.23,52.13
Maximum Price,65.0,51.0,67.0,133.0,180.0,162.0,170.0,145.0,70.0,80.0,270.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,34.0,60.0,65.0,150.0
Minimum Price,26.0,21.0,26.0,54.0,75.0,70.0,80.0,66.0,36.0,40.0,115.0,110.0,93.0,100.0,107.0,83.0,35.0,168.0,9.0,11.0,12.0,16.0
Modal Price,40.0,28.0,30.0,80.0,140.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,120.0,120.0,120.0,100.0,50.0,240.0,28.0,20.0,30.0,40.0
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.33,53.0,70.67,236.5,195.67,198.33,,140.67,128.0,76.67,308.33,20.33,46.67,56.67,99.0
Andhra Pradesh,52.2,40.8,44.2,74.4,150.6,121.2,115.0,99.0,43.6,58.2,177.8,196.0,117.2,175.0,119.0,99.0,58.4,325.6,21.6,31.4,29.8,29.0
Arunachal pradesh,36.0,42.0,40.0,90.0,135.0,127.5,125.0,104.5,55.0,72.0,,130.0,120.0,130.0,200.0,,,,15.0,30.0,45.0,80.0
Assam,41.68,31.44,36.16,77.56,134.04,108.95,109.32,90.88,45.0,69.64,190.8,146.72,137.56,140.4,154.55,116.27,56.32,258.5,13.4,21.84,34.84,82.68
Bihar,38.31,26.25,32.92,74.28,135.83,112.22,108.22,80.61,43.17,55.14,189.59,138.53,126.36,130.47,170.57,110.21,48.78,275.69,22.69,19.5,31.69,63.17
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,42.0,40.0
Chhattisgarh,41.4,33.6,37.4,79.0,137.4,101.2,106.0,85.8,42.6,63.0,202.6,149.8,127.8,133.2,149.4,118.0,48.0,315.8,26.6,24.2,32.2,46.4
Delhi,39.0,28.0,31.0,82.0,162.0,132.0,115.0,91.0,42.0,53.0,218.0,144.0,131.0,130.0,143.0,104.0,60.0,247.0,26.0,27.0,37.0,40.0
DNH and DD,44.67,39.67,44.67,82.0,155.33,132.67,121.0,97.0,42.0,64.0,210.67,155.0,140.67,130.33,132.67,101.67,68.33,350.0,27.0,21.0,33.0,41.0
Gujarat,38.4,32.8,38.0,74.4,132.4,112.4,104.6,91.0,42.5,58.0,191.0,138.8,132.6,136.8,126.2,109.6,50.0,289.75,15.5,25.2,26.6,69.4
Haryana,40.25,25.75,32.75,67.75,130.5,101.75,99.0,93.75,42.0,58.75,188.5,143.25,132.75,127.75,158.5,114.0,45.25,234.5,25.75,16.75,24.0,68.5
Himachal Pradesh,37.25,21.0,32.25,77.0,144.0,121.08,112.67,87.0,44.5,53.25,219.5,166.75,140.25,134.0,152.4,121.5,46.42,258.75,27.58,30.83,38.5,50.75
Jammu and Kashmir,37.67,31.33,41.67,87.67,127.67,117.67,116.67,101.0,51.0,47.67,243.0,154.0,143.0,139.33,168.67,122.5,49.0,316.67,26.0,28.33,40.0,61.33
Jharkhand,37.74,30.94,34.74,75.21,141.68,107.05,106.21,80.95,43.78,57.06,185.08,139.42,123.37,132.06,157.59,106.39,47.78,299.18,23.39,19.37,29.11,56.28
Karnataka,55.03,41.67,45.47,88.33,151.13,132.13,121.53,106.27,41.76,49.9,178.93,169.48,123.28,139.18,124.45,99.55,51.69,296.17,19.59,30.93,34.31,33.31
Kerala,50.08,44.31,47.46,95.62,165.15,141.69,131.33,106.92,43.0,54.0,226.43,186.78,150.92,,122.0,100.08,62.54,231.38,14.08,36.08,34.46,35.38
Madhya Pradesh,36.1,27.23,33.08,76.28,143.05,106.1,106.67,90.22,42.05,57.17,191.72,137.28,120.85,114.38,144.0,113.27,47.17,244.6,18.82,20.6,26.13,42.4
Maharashtra,47.58,38.21,42.68,77.89,158.53,121.0,118.42,98.05,43.21,57.74,190.89,160.89,131.42,112.79,127.32,105.19,52.21,292.0,23.63,27.68,31.16,44.68
Meghalaya,38.13,38.57,38.0,77.6,132.83,125.4,113.43,90.38,46.0,72.38,139.0,136.25,140.0,140.38,181.0,159.5,77.8,341.25,23.25,26.75,48.5,69.5
Mizoram,50.0,37.5,52.5,98.0,,,120.0,107.5,50.0,77.5,,190.0,220.0,140.0,,,121.5,520.0,27.5,50.0,61.5,75.0
Nagaland,40.56,40.13,47.88,96.67,130.25,122.13,122.0,97.06,50.73,71.46,200.0,141.88,178.33,150.81,186.0,137.5,73.13,319.29,17.4,28.5,49.06,89.88
Odisha,37.35,37.72,39.76,77.35,151.31,112.81,108.54,80.15,44.0,51.83,161.14,139.19,116.46,134.7,118.08,96.42,49.56,269.16,26.04,20.44,32.48,40.72
Punjab,36.92,24.25,30.0,78.5,145.42,116.75,112.42,94.75,43.0,59.42,194.91,125.18,120.18,118.27,137.64,105.1,50.92,259.17,25.67,19.92,34.0,48.67
Rajasthan,39.38,28.63,31.0,68.88,115.63,104.63,100.13,85.38,40.25,53.0,178.88,146.88,124.75,137.5,154.86,130.0,40.38,298.0,20.25,21.38,24.5,74.75
Sikkim,51.4,35.8,43.0,81.0,131.4,131.6,123.6,104.0,48.6,63.4,,180.8,136.2,158.5,195.0,,57.0,444.0,18.8,35.6,43.0,77.6
Tamil Nadu,55.89,43.6,52.96,83.59,166.78,132.74,118.67,92.58,41.85,45.19,212.74,186.67,125.96,,116.37,93.37,53.81,294.59,24.15,34.0,36.0,27.26
Telangana,48.9,39.0,43.1,71.6,134.2,115.7,107.4,90.4,39.9,63.0,166.8,172.3,118.6,148.83,118.7,98.33,54.9,297.9,18.8,28.8,30.0,39.9
Tripura,39.0,,38.33,81.0,146.0,129.0,111.33,100.67,47.0,70.0,,133.33,136.5,119.67,160.33,104.33,70.0,235.0,10.67,24.0,41.0,84.67
Uttar Pradesh,36.77,25.57,31.86,74.4,137.99,110.53,107.14,92.1,42.21,62.15,191.94,141.52,130.78,135.04,163.04,113.61,47.74,242.92,26.73,20.07,30.36,51.22
Uttarakhand,35.0,26.25,32.5,84.5,124.5,106.25,110.75,101.5,41.25,62.75,162.5,139.0,141.5,141.0,154.5,114.0,51.25,263.25,28.25,23.0,32.25,43.75
West Bengal,42.53,29.44,38.21,77.32,133.95,113.5,119.16,106.05,43.5,54.28,195.7,133.17,113.56,118.61,135.39,102.59,50.61,277.44,21.28,21.11,35.0,55.0
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023,NR -> Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,
